video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
zh7JgFXU0xU_000293_000303,43.0,8.0,6.0,6.0,0.8958333333333334
86SwFSaXvYY_000033_000043,42.0,8.0,6.0,6.0,0.875
FAi96faQ1ig_000078_000088,42.0,8.0,6.0,6.0,0.875
Ie3zOYuJQDw_000009_000019,42.0,8.0,6.0,6.0,0.875
K_tm-8OY41o_000061_000071,42.0,8.0,6.0,6.0,0.875
Nh5tyqlXjpo_000031_000041,42.0,8.0,6.0,6.0,0.875
Q1L7bmVBEsA_000062_000072,42.0,8.0,6.0,6.0,0.875
VaSWZfCFCyM_000003_000013,42.0,8.0,6.0,6.0,0.875
YytB3ojqKks_000000_000010,42.0,8.0,6.0,6.0,0.875
ddTv_6fSXqY_000005_000015,42.0,8.0,6.0,6.0,0.875
eKUXnelq0k8_000047_000057,42.0,8.0,6.0,6.0,0.875
iSmYrsNoqUI_000002_000012,42.0,8.0,6.0,6.0,0.875
lfOGgF1iqIs_000069_000079,42.0,8.0,6.0,6.0,0.875
rCf1nF1F0VI_000055_000065,42.0,8.0,6.0,6.0,0.875
w4FzrI745T8_000231_000241,42.0,8.0,6.0,6.0,0.875
-Ipp3cqqXcM_000138_000148,41.0,8.0,6.0,6.0,0.8541666666666666
1ewbovHEWUI_000052_000062,41.0,8.0,6.0,6.0,0.8541666666666666
4PFppQPsUwU_000071_000081,41.0,8.0,6.0,6.0,0.8541666666666666
EHiHeRETvOk_000016_000026,41.0,8.0,6.0,6.0,0.8541666666666666
NEVUFcRbzjg_000004_000014,41.0,8.0,6.0,6.0,0.8541666666666666
NhwdWRZ5bek_000004_000014,41.0,8.0,6.0,6.0,0.8541666666666666
bZSE4J4IEMQ_000017_000027,41.0,8.0,6.0,6.0,0.8541666666666666
c042IWOJGH8_000117_000127,41.0,8.0,6.0,6.0,0.8541666666666666
cyENAoC4c4k_000009_000019,41.0,8.0,6.0,6.0,0.8541666666666666
hf-d7MYPuZg_000097_000107,41.0,8.0,6.0,6.0,0.8541666666666666
niMQ5JtmaFc_000007_000017,41.0,8.0,6.0,6.0,0.8541666666666666
p-LrZMvXzfU_000000_000010,41.0,8.0,6.0,6.0,0.8541666666666666
wUd00HlWM7k_000012_000022,41.0,8.0,6.0,6.0,0.8541666666666666
zs0HcZWqwFk_000066_000076,41.0,8.0,6.0,6.0,0.8541666666666666
2DnMPnILQeg_000010_000020,40.0,8.0,6.0,6.0,0.8333333333333334
5-jHVW7RXB4_000008_000018,40.0,8.0,6.0,6.0,0.8333333333333334
A56VU48dN4Q_000055_000065,40.0,8.0,6.0,6.0,0.8333333333333334
HfGHJvNFTJ4_000003_000013,40.0,8.0,6.0,6.0,0.8333333333333334
c4BwQ99CUE0_000084_000094,40.0,8.0,6.0,6.0,0.8333333333333334
r60Wmm-n5_w_000054_000064,40.0,8.0,6.0,6.0,0.8333333333333334
vR2gG72oHH0_000012_000022,40.0,8.0,6.0,6.0,0.8333333333333334
0-170t2sK0w_000166_000176,39.0,8.0,6.0,6.0,0.8125
0SE-mWiNx_c_000022_000032,39.0,8.0,6.0,6.0,0.8125
94o_kUyAQ4c_000074_000084,39.0,8.0,6.0,6.0,0.8125
L0gHm-OV6BE_000468_000478,39.0,8.0,6.0,6.0,0.8125
MFHsxqylwP4_000021_000031,39.0,8.0,6.0,6.0,0.8125
_DuwuS_9ljw_000038_000048,39.0,8.0,6.0,6.0,0.8125
eWBT_U55M5g_000008_000018,39.0,8.0,6.0,6.0,0.8125
l3SNCXJeako_000032_000042,39.0,8.0,6.0,6.0,0.8125
yFfRNqs7tYw_000018_000028,39.0,8.0,6.0,6.0,0.8125
2Bcvz15jt88_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
5xddvSh8XWo_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
Am4-3r46x_Y_000049_000059,38.0,8.0,6.0,6.0,0.7916666666666666
JHHz_Crb35g_000012_000022,38.0,8.0,6.0,6.0,0.7916666666666666
SdOBPgO4MGs_000024_000034,38.0,8.0,6.0,6.0,0.7916666666666666
TQaQySJFOAI_000145_000155,38.0,8.0,6.0,6.0,0.7916666666666666
egHJpjFQ_RI_000059_000069,38.0,8.0,6.0,6.0,0.7916666666666666
eta9co2RRWk_000064_000074,38.0,8.0,6.0,6.0,0.7916666666666666
h8HvaWKwG1Q_000000_000010,38.0,8.0,6.0,6.0,0.7916666666666666
HzXdVrde2Do_000032_000042,37.0,8.0,6.0,6.0,0.7708333333333334
-nRqvuIPpPk_000023_000033,45.0,8.0,5.0,6.0,0.9375
2xxWWcZNUJk_000000_000010,45.0,8.0,5.0,6.0,0.9375
5JRtcm9amBM_000097_000107,45.0,8.0,5.0,6.0,0.9375
8LDzFwPDkBA_000144_000154,45.0,8.0,5.0,6.0,0.9375
FYY6T_kIZ10_000008_000018,45.0,8.0,5.0,6.0,0.9375
GrIXMvH2dvk_000014_000024,45.0,8.0,5.0,6.0,0.9375
LyPH09f-iEE_000031_000041,45.0,8.0,5.0,6.0,0.9375
NMJsi87O7Sg_000049_000059,45.0,8.0,5.0,6.0,0.9375
RsNydKR6bb4_000165_000175,45.0,8.0,5.0,6.0,0.9375
UB4gI6ggo4Q_000410_000420,45.0,8.0,5.0,6.0,0.9375
W8m-bmyfsHU_000005_000015,45.0,8.0,5.0,6.0,0.9375
aztHB2WJC50_000087_000097,45.0,8.0,5.0,6.0,0.9375
ceT9BdtXji0_000025_000035,45.0,8.0,5.0,6.0,0.9375
e0Fh32GfXto_000049_000059,45.0,8.0,5.0,6.0,0.9375
fm12xJ9waGA_000426_000436,45.0,8.0,5.0,6.0,0.9375
kjhky_WQkaA_000006_000016,45.0,8.0,5.0,6.0,0.9375
l3AFRHTVqxk_000002_000012,45.0,8.0,5.0,6.0,0.9375
mYNyfF-6vHI_000024_000034,45.0,8.0,5.0,6.0,0.9375
r0OoaXVhDA8_000025_000035,45.0,8.0,5.0,6.0,0.9375
xVhgbTJ1qKs_000088_000098,45.0,8.0,5.0,6.0,0.9375
xs71cLZIZkI_000015_000025,45.0,8.0,5.0,6.0,0.9375
1GYvaplEznE_000058_000068,44.0,8.0,5.0,6.0,0.9166666666666666
6Z5a2dmP9DQ_000014_000024,44.0,8.0,5.0,6.0,0.9166666666666666
75vXgreEIhI_000077_000087,44.0,8.0,5.0,6.0,0.9166666666666666
9787oHxXVLA_000002_000012,44.0,8.0,5.0,6.0,0.9166666666666666
GQNxTfxCgk4_000041_000051,44.0,8.0,5.0,6.0,0.9166666666666666
IN7WqyKWE_M_000000_000010,44.0,8.0,5.0,6.0,0.9166666666666666
JkeThPwpX8U_000149_000159,44.0,8.0,5.0,6.0,0.9166666666666666
MyMOuNbkqJI_000025_000035,44.0,8.0,5.0,6.0,0.9166666666666666
NYNbAmi3FXg_000036_000046,44.0,8.0,5.0,6.0,0.9166666666666666
TmR6vevWQQc_000001_000011,44.0,8.0,5.0,6.0,0.9166666666666666
_4-JZgg1tVo_000029_000039,44.0,8.0,5.0,6.0,0.9166666666666666
fl888hN0IRs_000012_000022,44.0,8.0,5.0,6.0,0.9166666666666666
lM_R_QFvhEk_000045_000055,44.0,8.0,5.0,6.0,0.9166666666666666
tEBqQT-IxAg_000293_000303,44.0,8.0,5.0,6.0,0.9166666666666666
thISDeud_CE_000564_000574,44.0,8.0,5.0,6.0,0.9166666666666666
u0dzMFz5xK8_000079_000089,44.0,8.0,5.0,6.0,0.9166666666666666
u2tge2W8OSA_000066_000076,44.0,8.0,5.0,6.0,0.9166666666666666
vhDdM69M7bc_000124_000134,44.0,8.0,5.0,6.0,0.9166666666666666
wVjC-h7MaCs_000357_000367,44.0,8.0,5.0,6.0,0.9166666666666666
xfCmhT47cIg_000770_000780,44.0,8.0,5.0,6.0,0.9166666666666666
-Q83wlepp48_000014_000024,43.0,8.0,5.0,6.0,0.8958333333333334
0N6S_1Jsf3g_000044_000054,43.0,8.0,5.0,6.0,0.8958333333333334
0juaB_xZmOo_000010_000020,43.0,8.0,5.0,6.0,0.8958333333333334
4oIDy8J2BA4_000000_000010,43.0,8.0,5.0,6.0,0.8958333333333334
5e3SryblPPQ_000013_000023,43.0,8.0,5.0,6.0,0.8958333333333334
7X84M0t6M3A_000000_000010,43.0,8.0,5.0,6.0,0.8958333333333334
DS-Gch_MMzs_000143_000153,43.0,8.0,5.0,6.0,0.8958333333333334
DcHDtQo18Fk_000020_000030,43.0,8.0,5.0,6.0,0.8958333333333334
JIPoHajCJNg_000069_000079,43.0,8.0,5.0,6.0,0.8958333333333334
Mz8vUa24oBc_000267_000277,43.0,8.0,5.0,6.0,0.8958333333333334
NS7o18FBSRM_000018_000028,43.0,8.0,5.0,6.0,0.8958333333333334
Q5pyeLFfpv4_000052_000062,43.0,8.0,5.0,6.0,0.8958333333333334
QnnFGfksxpM_000003_000013,43.0,8.0,5.0,6.0,0.8958333333333334
X7Ru_g3wJQI_000029_000039,43.0,8.0,5.0,6.0,0.8958333333333334
b0EknhoQpHk_000021_000031,43.0,8.0,5.0,6.0,0.8958333333333334
b7GmgOmf5FY_000089_000099,43.0,8.0,5.0,6.0,0.8958333333333334
c5Yxb7mW9MY_000000_000010,43.0,8.0,5.0,6.0,0.8958333333333334
eOBGe-ne2pk_000012_000022,43.0,8.0,5.0,6.0,0.8958333333333334
ft84FFTP4UM_000134_000144,43.0,8.0,5.0,6.0,0.8958333333333334
lcmpx-h8tMI_000007_000017,43.0,8.0,5.0,6.0,0.8958333333333334
m1VleizxEKo_000022_000032,43.0,8.0,5.0,6.0,0.8958333333333334
odTO7bGrxAA_000038_000048,43.0,8.0,5.0,6.0,0.8958333333333334
pOWNrRrjhrg_000013_000023,43.0,8.0,5.0,6.0,0.8958333333333334
q70fNXEQCIo_000008_000018,43.0,8.0,5.0,6.0,0.8958333333333334
zCRMJLIEl5M_000021_000031,43.0,8.0,5.0,6.0,0.8958333333333334
2Cn3ve85380_000048_000058,42.0,8.0,5.0,6.0,0.875
3IVM85DjeDU_000064_000074,42.0,8.0,5.0,6.0,0.875
3cwR3H3n3QE_000210_000220,42.0,8.0,5.0,6.0,0.875
4ZP3mHwidyY_000000_000010,42.0,8.0,5.0,6.0,0.875
5E642rMqFYU_000022_000032,42.0,8.0,5.0,6.0,0.875
8INCjK_GWl8_000117_000127,42.0,8.0,5.0,6.0,0.875
8UbCe4aEMJM_000003_000013,42.0,8.0,5.0,6.0,0.875
8jtKrbRlbG8_000034_000044,42.0,8.0,5.0,6.0,0.875
9qACfjzX7rk_000000_000010,42.0,8.0,5.0,6.0,0.875
E5hPdYjMRRE_000524_000534,42.0,8.0,5.0,6.0,0.875
Ejs1E5IGnS8_000012_000022,42.0,8.0,5.0,6.0,0.875
GIy--4FGLSI_000040_000050,42.0,8.0,5.0,6.0,0.875
HQLw1ceplbw_000019_000029,42.0,8.0,5.0,6.0,0.875
IDUVIUS2xPQ_000025_000035,42.0,8.0,5.0,6.0,0.875
JKeQjZfv0UE_000002_000012,42.0,8.0,5.0,6.0,0.875
LlQJZTUahEE_000011_000021,42.0,8.0,5.0,6.0,0.875
NBrQ_D443FU_000043_000053,42.0,8.0,5.0,6.0,0.875
NwIBnOJJ9dE_000005_000015,42.0,8.0,5.0,6.0,0.875
OeUzsDrNvyU_000663_000673,42.0,8.0,5.0,6.0,0.875
Q1c9NPIHUP8_000000_000010,42.0,8.0,5.0,6.0,0.875
QqeBD7ZEr5s_000018_000028,42.0,8.0,5.0,6.0,0.875
TU6yRYt5JB8_000000_000010,42.0,8.0,5.0,6.0,0.875
TuESA9n1g60_000029_000039,42.0,8.0,5.0,6.0,0.875
VfGF2RcHVzA_000008_000018,42.0,8.0,5.0,6.0,0.875
XKOQCa6hlCk_000000_000010,42.0,8.0,5.0,6.0,0.875
XrKDtjFM9Ec_000220_000230,42.0,8.0,5.0,6.0,0.875
aDhQKMORHX4_000195_000205,42.0,8.0,5.0,6.0,0.875
iuuICKDReI4_000009_000019,42.0,8.0,5.0,6.0,0.875
pOMyKOqwkI4_000195_000205,42.0,8.0,5.0,6.0,0.875
rstsiCfs9Co_000017_000027,42.0,8.0,5.0,6.0,0.875
vELJweizh9A_000001_000011,42.0,8.0,5.0,6.0,0.875
wyM54nfkIiw_000036_000046,42.0,8.0,5.0,6.0,0.875
-gMwxP9-xwk_000002_000012,41.0,8.0,5.0,6.0,0.8541666666666666
5474mv1Ogyo_000086_000096,41.0,8.0,5.0,6.0,0.8541666666666666
54DG48N4gs0_000002_000012,41.0,8.0,5.0,6.0,0.8541666666666666
5DDzylqRCxE_000363_000373,41.0,8.0,5.0,6.0,0.8541666666666666
66ahBijMfvg_000032_000042,41.0,8.0,5.0,6.0,0.8541666666666666
8G2iCSTeUYI_000000_000010,41.0,8.0,5.0,6.0,0.8541666666666666
C4qhelpbX-E_000089_000099,41.0,8.0,5.0,6.0,0.8541666666666666
C6fL4XNWYNA_000020_000030,41.0,8.0,5.0,6.0,0.8541666666666666
ImSNzSU0fEs_000008_000018,41.0,8.0,5.0,6.0,0.8541666666666666
J23yPQoaIcI_000133_000143,41.0,8.0,5.0,6.0,0.8541666666666666
JRJmwA8P5GY_000035_000045,41.0,8.0,5.0,6.0,0.8541666666666666
JzeD0-Mnc_4_000041_000051,41.0,8.0,5.0,6.0,0.8541666666666666
KtkDEsqwhE0_000003_000013,41.0,8.0,5.0,6.0,0.8541666666666666
OwtKzDIhOJk_000004_000014,41.0,8.0,5.0,6.0,0.8541666666666666
P9BtQ3TGhpk_000034_000044,41.0,8.0,5.0,6.0,0.8541666666666666
RpHPYlkkY1U_000173_000183,41.0,8.0,5.0,6.0,0.8541666666666666
VzLCKRLaU6Y_000431_000441,41.0,8.0,5.0,6.0,0.8541666666666666
_KapWUYOm64_000040_000050,41.0,8.0,5.0,6.0,0.8541666666666666
_rCQ-AcUqgA_000010_000020,41.0,8.0,5.0,6.0,0.8541666666666666
e0MSoVYcF9U_000025_000035,41.0,8.0,5.0,6.0,0.8541666666666666
iD5QY1vHykY_000017_000027,41.0,8.0,5.0,6.0,0.8541666666666666
jtMXX7arPEk_000063_000073,41.0,8.0,5.0,6.0,0.8541666666666666
me5KsjCwWzU_000037_000047,41.0,8.0,5.0,6.0,0.8541666666666666
r4VEecq0qFc_000040_000050,41.0,8.0,5.0,6.0,0.8541666666666666
sj8ct_ZZ2Hs_000037_000047,41.0,8.0,5.0,6.0,0.8541666666666666
